ltc	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	rtc
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	box	box	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	box	box	box	box	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	wood	wood	wood	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	box	box	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	wood	fl	fl	fl	wood	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	wood	trader	fl	fl	wood	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	wood	fl	fl	wood	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	wood	wood	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	barrel	fl	barrel	fl	barrel	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	barrel	fl	barrel	fl	barrel	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lbc	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	rbc
