ltc	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	rtc
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	barrel	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	barrel	fl	barrel	barrel	box	box	fl	barrel	fl	rw
lw	fl	fl	box	box	box	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	trader	fl	box	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	barrel	fl	box	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	box	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	room_rock	room_rock	room_rock	room_rock	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	room_rock	room_rock	room_rock	room_rock	room_rock	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	room_rock	room_rock	room_rock	room_rock	room_rock	room_rock	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lbc	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	rbc
